Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20
5,5,50,0.7637874721551591,27.048397493510535,6208524,6208524,0.04921443486406753,0.08502342907911768,0.10883987885043209,0.15043124581623588,0.21701712033327084
5,5,100,0.7638782463631184,27.05248901142715,6207585,6207585,0.0491825726107657,0.08498425716280969,0.10879335522590508,0.15038376437857878,0.21697020661013905
5,5,150,0.7638763064028121,27.053099141434195,6207445,6207445,0.04917868784983193,0.08497731353237926,0.10878678747858418,0.15038006780567528,0.21696076243929668
5,5,200,0.7638791815522287,27.053251678236172,6207410,6207410,0.04917509879321649,0.08497279863904592,0.10878224573533889,0.15037592168070096,0.2169566695288373
5,5,300,0.7638873576605338,27.05340421675829,6207375,6207375,0.049171670794820675,0.08497005578042248,0.10877963712519383,0.15037209770635734,0.21695257657222256
5,10,50,0.7801079518732549,29.49988370838842,5692586,5692586,0.04803142192318219,0.08345925735684977,0.10629791100213505,0.14731635147892364,0.21432491314140883
5,10,100,0.7802710689101379,29.5108065595181,5690479,5690479,0.04796186753347126,0.08338436887298943,0.10620494337998611,0.14720237083732318,0.21420674779750526
5,10,150,0.7803080725454525,29.513036706713773,5690049,5690049,0.047948268986787286,0.08336712038859419,0.10618766200431666,0.14718941787671777,0.2141749570170661
5,10,200,0.7803129360754796,29.513783622046414,5689905,5689905,0.04794280396597131,0.08336132149833785,0.10617910140854725,0.14718119195311696,0.21416860211198605
5,10,300,0.7803304056010938,29.514307522719587,5689804,5689804,0.047935746117089444,0.08335032278792029,0.10617167129131337,0.14717624719586123,0.21416062838016917
5,15,50,0.781398833529737,44.16527080944991,3802323,3802323,0.050359477614079606,0.09251028910484459,0.12190652924541129,0.1739092128680283,0.245065187781259
5,15,100,0.7819835796951422,44.28482502113628,3792058,3792058,0.05021257586249999,0.09233403075585869,0.12172888705816208,0.17373231105642373,0.24473122510256964
5,15,150,0.7820694552413433,44.30820565495453,3790057,3790057,0.05015148848684862,0.09207064695860774,0.12141400511918422,0.17350213994143096,0.24450925144397564
5,15,200,0.7821628836043075,44.316367227280395,3789359,3789359,0.05012536421067521,0.09204327169845876,0.12137963175302208,0.17347894459194813,0.24447723216512343
5,15,300,0.7821709556788083,44.322063400399905,3788872,3788872,0.05015186577957767,0.09224196541873149,0.12157127503911454,0.17369892675181425,0.2446546096041249
5,20,50,0.7752096597137574,61.318805848725354,2738648,2738648,0.057314412074863215,0.10231325822084474,0.13560340722867634,0.18824288481031518,0.2712210550607453
5,20,100,0.7764803975031539,61.66816861313788,2723133,2723133,0.05707580202656279,0.1020104416493796,0.1353496138455228,0.1879467510400704,0.27079911263974255
5,20,150,0.7767978034744486,61.748712393563565,2719581,2719581,0.056977894756581986,0.10192121506952725,0.13526899915832621,0.18787820623838747,0.27069684631566404
5,20,200,0.7768918409067522,61.77351646447714,2718489,2718489,0.05693456916691589,0.10184849009872764,0.13518907010475303,0.18776496796566033,0.27060289741838206
5,20,300,0.7769893615944642,61.79558884246581,2717518,2717518,0.05692988970082259,0.10185249922907594,0.1351700338323426,0.18773785491025266,0.27054687402254557
